558
61;106;120;140;150;41;76;15;183;122;81
152;192;55;173;74;89;17;33;2;181;197;153
126;84;187;151;148;114;180;129;138;189;168;67;195;10
50;46;124;34;102;65;178;38;149;121;85
101;159;7;143;1;139;171;118;130;170;123;37;68
136;91;161;190;182;157;56;198;172;4;164;146;44;31;29
3;20;96;69;66;112;26;21;184;78;27;72;71;22;132
104;98;52;193;163;51;87;57;16;80;176
79;158;58;154;28;14;75;73;40;115;144
63;165;133;116;97;169;135;199;42;137;134;11;59;105;111
36;113;83;6;88;162;90;35;13;53;47;18
179;8;125;160;131;191;188;167;194;54;100;128;92;0;24
99;127;70;108;86;107;117;62;142;60;43;156;19;185;12
175;174;196;30;23;5;119;9;49;155;82;48;103;141;166
177;77;110;93;39;25;94;45;64;95;147;109;145;32;186
